园区,企业名称,曾用名,统一信用代码,注册号,法定代表人,企业类型,成立日期,注册资本,联系电话,公司网站,注册地址,经营范围,所属行业,股东信息,成员信息
,耕邦****技(北京)有限公司,,91110108MA00GL****,11010802384****,唐****,有限责任公司(法人独资),2017/7/28,"1,000(万元)",1561153****,,北京市海淀区东北旺西路8号院4号楼四层422-24,技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发的产品；计算机系统服务；基础软件服务；应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；教育咨询（中介服务除外）；经济贸易咨询；文化咨询；体育咨询；公共关系服务；会议服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；企业管理咨询；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；影视策划；翻译服务；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；接受金融机构委托从事金融信息技术外包服务；接受金融机构委托从事金融业务流程外包服务；接受金融机构委托从事金融知识流程外包服务；餐饮管理；酒店管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,"山****（认缴额：1,000万元，实缴额：--，股东类型：企业法人）",鲁****（监事）唐****（执行董事）唐****（经理）
,北京****力科技股份有限公司,北京明天动力科技有限公司； 北京铭天动力科技有限公司,91110108556857****,11010801292****,杨****,股份有限公司(非上市、自然人投资或控股),2010/6/7,960(万元),5940****,www.itppay.com,北京市海淀区东北旺西路8号院4号楼109号,技术开发、技术推广、技术转让、技术咨询、技术服务；计算机技术培训（不得面向全国招生）；计算机系统服务；设计、制作、代理、发布广告；从事互联网文化活动。（企业依法自主选择经营项目，开展经营活动；从事互联网文化活动以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,互联网信息服务，信息技术咨询服务,北****（认缴额：312万元，实缴额：--，股东类型：企业法人）万****（认缴额：144万元，实缴额：--，股东类型：自然人股东）杨****（认缴额：504万元，实缴额：--，股东类型：自然人股东）,"杨****（董事长,经理）杨****（董事）续****（董事）耿****（监事）张****（监事会主席）徐****（监事）万****（董事）刘****（董事）"
,北京****侠科技有限公司,,91110108MA018X****,11010802447****,张****,有限责任公司(自然人独资),2017/11/22,100(万元),1860121****,,北京市海淀区东北旺西路8号院4号楼四层422-42,技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发的产品；计算机系统服务；基础软件服务、应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；教育咨询（中介服务除外）；经济贸易咨询；文化咨询；体育咨询；公共关系服务；会议服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；企业管理；企业管理咨询；健康管理、健康咨询（须经审批的诊疗活动除外）；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；影视策划；翻译服务；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,张****（认缴额：100万元，实缴额：--，股东类型：自然人股东）,张****（经理）张****（执行董事）张****（监事）
,北京****技有限公司,,91110108MA00DX****,11010802335****,孔****,有限责任公司(自然人独资),2017/4/26,100万元,,,北京市海淀区地锦路7号院14号楼四层401(D-205),技术开发、技术推广、技术转让、技术咨询、技术服务;销售自行开发的产品;计算机系统服务;基础软件服务、应用软件服务;软件开发;软件咨询;产品设计;模型设计;包装装潢设计;教育咨询(中介服务除外);经济贸易咨询;文化咨询;体育咨询;公共关系服务;会议服务;工艺美术设计;电脑动画设计;企业策划、设计;设计、制作、代理、发布...,专业化设计服务，软件开发,孔****（持股比例：100.00%，认缴出资额：100，股东类型：自然人股东）,孔****（执行董事）孔****（经理）杜****（监事）
,北京****克斯物联网科技有限公司,,91110108MA00GL****,11010802384****,任****,有限责任公司(自然人独资),2017/7/28,100(万元),,,北京市海淀区东北旺西路8号院4号楼四层422-25,物联网技术开发、技术推广、技术转让、技术咨询、技术服务；计算机系统服务；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；基础软件服务；应用软件服务；软件开发；软件咨询；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,自然科学研究和试验发展，医学研究和试验发展,任****（认缴额：--，实缴额：--，股东类型：自然人股东）,任****（执行董事）任****（经理）张****（监事）
,华美****北京)教育文化发展有限公司,,91110108MA00D5****,,吴****,有限责任公司(自然人投资或控股),2017/3/31,800(万元),8227****,,北京市海淀区东北旺西路8号院4号楼421-28号,组织文化艺术交流活动（不含营业性演出）；教育咨询（中介服务除外）；文化咨询；经济贸易咨询；体育咨询；公共关系服务；工艺美术设计；电脑动画设计；企业策划、设计；企业管理咨询；技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发后的产品；计算机系统服务；基础软件服务；应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；设计、制作、代理、发布广告；市场调查。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,吴****（认缴额：640万元，实缴额：--，股东类型：自然人股东）暴****（认缴额：160万元，实缴额：--，股东类型：自然人股东）,暴****（监事）吴****（经理）吴****（执行董事）
,北京****技有限公司,,91110108MA00DN****,11010802331****,张****,有限责任公司(自然人投资或控股),2017/4/19,200(万元),,,北京市海淀区大钟寺13号院1号楼地下一层FB115-44,技术服务、技术转让、技术开发、技术推广、技术咨询；设计、制作、代理、发布广告；应用软件服务；软件开发；影视策划；公共关系服务；电脑动画设计；会议服务；文艺创作；企业管理咨询；承办展览展示活动；销售自行开发后的产品；教育咨询（中介服务除外）；经济贸易咨询；文化咨询；体育咨询；软件咨询；产品设计；模型设计；包装装潢设计；工艺美术设计；电脑动画设计。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,陈****（认缴额：--，实缴额：--，股东类型：自然人股东）张****（认缴额：--，实缴额：--，股东类型：自然人股东）,陈****（监事）张****（经理）张****（执行董事）
,北京****技有限公司,,91110108MA001P****,11010802015****,陈****,其他有限责任公司,2015/11/10,"5,000(万元)",0108282****,,北京市海淀区东北旺西路8号院4号楼3层313-16,技术开发、技术转让、技术咨询、技术服务；计算机系统服务；承办展示展览活动；企业策划；企业管理咨询；电脑动画设计。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,社会经济咨询，专业化设计服务,韩****（认缴额：--，实缴额：--，股东类型：自然人股东）上****（认缴额：--，实缴额：--，股东类型：企业法人）,沈****（监事）韩****（经理）陈****（执行董事）
,北京****代科技有限公司,,91110108681225****,11010801138****,续****,有限责任公司(自然人投资或控股的法人独资),2008/10/14,100(万元),5940****,,北京市海淀区东北旺西路8号院4号楼110号,技术开发、技术服务、技术咨询、技术转让；计算机技术培训；承接计算机网络工程；从事互联网文化活动。（企业依法自主选择经营项目，开展经营活动；从事互联网文化活动以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,信息技术咨询服务，互联网信息服务,北****（持股比例：100.00%，认缴出资额：100万元，股东类型：法人股东）,杨****（监事）续****（经理）续****（执行董事）
,北京****通科技有限公司,,91110108797584****,11010800216****,秦****,有限责任公司(法人独资),2006/12/27,145.45(万元),8712****,,北京市海淀区东北旺西路8号院4号楼4层404,技术开发、技术服务、技术转让、技术咨询；计算机系统服务；经济贸易咨询；销售电子产品、计算机、软件及辅助设备。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,软件开发，信息系统集成服务,北****（持股比例：77.76%，认缴出资额：145.45万元，股东类型：法人股东）,秦****（董事长）鄂****（董事）韦****（董事）秦****（总经理）王****（监事）
,北京****投资咨询中心(有限合伙),,91110108348366****,11010801945****,朗****,有限合伙企业,2015/7/9,,5940****,,北京市海淀区东北旺西路8号院4号楼1层131,投资咨询；投资管理；项目投资；资产管理；经济贸易咨询。（下期出资时间为2017年12月31日；1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,投资与资产管理，资本投资服务,朗****（认缴额：--，实缴额：--，股东类型：企业法人）北****（认缴额：--，实缴额：--，股东类型：法人股东）合****（认缴额：--，实缴额：--，股东类型：法人股东）,
,,,,,,,,,,,,,,,
软件广场,,,,,,,,,,,,,,,
,易酷****北京)互联网科技有限公司,,91110108MA006D****,11010802148****,孙****,有限责任公司(自然人投资或控股),2016/6/23,"1,000(万元)",010-8575****,WWW.iglooip.com,北京市海淀区北清路68号院24号楼D座4层007,技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发后的产品；计算机系统服务；基础软件服务、应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；教育咨询；经济贸易咨询；文化咨询；体育咨询；公共关系服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告。市场调查；企业管理咨询；组织文化艺术交流活动(不含营业性演出)；文艺创作；承办展览展示活动；会议服务；影视策划；翻译服务；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；接受金融机构委托从事金融信息技术外包服务；接受金融机构委托从事金融业务流程外包服务；接受金融机构委托从事金融知识流程外包服务；餐饮管理；酒店管理；企业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,孙****（持股比例：35.00%，认缴出资额：350万元，股东类型：自然人股东）董****（持股比例：65.00%，认缴出资额：650万元，股东类型：自然人股东）,孙****（执行董事）孙****（经理）董****（监事）
,北京****科技有限公司,,91110108306516****,11010801758****,杨****,有限责任公司(自然人投资或控股),2014/7/18,500(万元),1371867****,,北京市海淀区建材城西二里23号楼1层4单元101,技术开发、技术推广、技术转让、技术咨询、技术服务、技术培训；软件开发；计算机系统服务；数据处理；会议服务；机械设备租赁（不含汽车租赁）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,农业技术推广服务，数据处理和存储服务,杨****（认缴额：300万元，实缴额：--，股东类型：自然人股东）杨****（认缴额：200万元，实缴额：--，股东类型：自然人股东）,杨****（执行董事）杨****（经理）杨****（监事）
,北京****信科技有限公司,,91110108089659****,11010801664****,高****,有限责任公司(法人独资),2014/1/6,500(万元),010-8282****,http://www.hansight.com/,北京市海淀区东北旺西路8号9号楼2区306A-2,技术开发、技术推广、技术咨询、技术转让、技术服务；计算机技术培训（不得面向全国招生）；计算机系统服务；批发计算机、软件及辅助设备。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,软件开发，信息系统集成服务,瀚****（认缴额：500万元，实缴额：130万元，股东类型：企业法人）,高****（执行董事）高****（经理）陈****（监事）
,北京****地创业投资中心(有限合伙),,91110108318245****,11010801873****,北****,有限合伙企业,2015/3/12,,0108712****,http://www.tenplusvc.com/index/1.html,北京市海淀区东北旺西路8号4号楼208号,投资管理；资产管理；企业管理；投资咨询；企业管理咨询；经济贸易咨询；企业策划；技术开发、技术转让、技术咨询、技术服务、技术推广；基础软件服务；应用软件服务；计算机系统服务；软件开发。（下期出资时间为2020年01月01日；1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益。企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,社会经济咨询，其他专业咨询,北****（认缴额：--，实缴额：--，股东类型：企业法人）北****（认缴额：--，实缴额：--，股东类型：法人股东）天****（认缴额：--，实缴额：--，股东类型：法人股东）靳****（认缴额：--，实缴额：--，股东类型：自然人股东）关****（认缴额：--，实缴额：--，股东类型：自然人股东）北****（认缴额：--，实缴额：--，股东类型：企业法人）杨****（认缴额：--，实缴额：--，股东类型：自然人股东）杨****（认缴额：--，实缴额：--，股东类型：自然人股东）,
,思创****北京)软件有限公司,,91110108074175****,11010801606****,万****,有限责任公司(法人独资),2013/7/9,100(万元),010-5951****,,北京市海淀区东北旺西路8号4号楼软件广场C座2-05室,软件开发；技术咨询、技术服务；运输代理服务；建筑物清洁服务；摄影扩印服务；销售机械设备、电子产品、文化用品、照相器材、化妆品、化工产品（不含危险化学品及一类易制毒化学品）、体育用品、针纺织品、服装、日用品、珠宝首饰、饲料、食用农产品、工艺品、钟表、眼镜、玩具、汽车、摩托车零配件、通讯设备；销售食品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,超级市场零售，百货零售,北****（持股比例：100.00%，认缴出资额：100万元，股东类型：企业法人）,王****（监事）万****（执行董事）万****（经理）
,北京****技有限公司,北京睿医迈联科技有限公司,91110108059201****,11010801684****,金****,有限责任公司(自然人投资或控股),2014/3/12,100(万元),1731603****,,北京市海淀区东北旺西路8号院4号楼313-46,技术开发、技术转让、技术咨询；软件开发。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,软件开发，农业技术推广服务,金****（认缴额：50万元，实缴额：--，股东类型：自然人股东）李****（认缴额：50万元，实缴额：--，股东类型：自然人股东）,李****（执行董事）金****（经理）丁****（监事）
,北京****年信息咨询有限公司,,              ****,11010801777****,亓****,有限责任公司(自然人投资或控股),2014/8/25,3(万元),1378563****,,北京市海淀区东北旺西路8号院4号楼312号,企业管理咨询；投资咨询；货物进出口；计算机系统服务；技术咨询、技术服务；计算机技术培训；销售自行开发后的产品、计算机、软件及辅助设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（领取本执照后，应到商务委员会备案。依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）,软件开发，信息系统集成服务,王****（持股比例：--，认缴出资额：0，股东类型：自然人股东）王****（持股比例：--，认缴出资额：0，股东类型：自然人股东）于****（持股比例：--，认缴出资额：0，股东类型：自然人股东）亓****（持股比例：100.00%，认缴出资额：3万元，股东类型：自然人股东）,亓****（执行董事）亓****（经理）王****（监事）
,北京****技有限公司,,91110108MA01BM****,11010802519****,胡****,有限责任公司(自然人独资),2018/4/24,20(万元),1891164****,,北京市海淀区东北旺西路8号院4号楼四层430-2,技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发的产品；计算机系统服务；基础软件服务；应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；教育咨询（中介服务除外）；经济贸易咨询；文化咨询；体育咨询；公共关系服务；会议服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；企业管理咨询；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；会议服务；影视策划；翻译服务；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,胡****（持股比例：100.00%，认缴出资额：20万元，股东类型：自然人股东）,胡****（执行董事）梁****（监事）胡****（经理）
,北京****能科技有限公司,,91110108MA01DY****,11010802580****,朱****,有限责任公司(自然人投资或控股),2018/8/8,999(万元),1360164****,,北京市海淀区东北旺西路8号院4号楼四层421-50,技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发的产品；计算机系统服务；基础软件服务、应用软件服务；软件开发；软件资询；产品设计；模型设计；包装装潢设计；经济贸易咨询；教育咨询（中介服务除外）；文化咨询；体育咨询；公共关系服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；企业管理；企业管理咨询；健康管理、健康咨询（须经审批的诊疗活动除外）；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；会议服务；影视策划；翻译服务；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,朱****（认缴额：699.30万元，实缴额：--，股东类型：自然人股东）郑****（认缴额：299.70万元，实缴额：--，股东类型：自然人股东）,"朱****（经理,执行董事）郑****（监事）"
,北京****下科技有限公司,,91110108MA01AJ****,11010802489****,张****,有限责任公司(自然人投资或控股),2018/3/2,100(万元),1326158****,,北京市海淀区东北旺西路8号院4号楼313-53,技术服务、技术转让、技术开发、技术推广、技术咨询；应用软件服务；软件开发；计算机系统服务；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；电脑动画设计；软件咨询；产品设计；基础软件服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,软件开发，数据处理和存储服务,张****（认缴额：70万元，实缴额：--，股东类型：自然人股东）于****（认缴额：30万元，实缴额：--，股东类型：自然人股东）,于****（监事）张****（执行董事）张****（经理）
,北京****业管理咨询有限公司,,91110108MA01ED****,,王****,其他有限责任公司,2018/8/31,100(万元),1501131****,,北京市海淀区中关村大街1号15层1507-433,企业管理咨询；技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发的产品；计算机系统服务；基础软件服务；应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；经济贸易咨询；文化咨询；体育咨询；公共关系服务；会议服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；企业管理；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；影视策划；翻译服务；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展；数据处理（数据处理中的银行卡中心、PUE值在1.4以上的云计算数据中心除外）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）。,专业化设计服务，社会经济咨询,刘****（认缴额：20万元，实缴额：--，股东类型：自然人股东）北****（认缴额：80万元，实缴额：--，股东类型：企业法人）,"王****（经理,执行董事）刘****（监事）"
,北京****技有限公司,,91110108MA00CQ****,11010802313****,杨****,有限责任公司(自然人投资或控股),2017/3/20,500万元,010-5642****,,北京市海淀区马连洼北路8号C座五层506-B075,"技术开发、技术推广、技术转让、技术咨询、技术服务;销售自行开发后的产品;计算机系统服务;基础软件服务、应用软件服务;软件开发。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)",软件开发，信息系统集成服务,杨****（认缴额：225万元，实缴额：--，股东类型：自然人股东）张****（认缴额：225万元，实缴额：--，股东类型：自然人股东）单****（认缴额：50万元，实缴额：--，股东类型：自然人股东）,"张****（监事）杨****（经理,执行董事）"
,北京****店管理有限公司,,91110108MA01C1****,11010802528****,缪****,有限责任公司(外商投资企业法人独资),2018/5/9,100万元,,http://www.bthhotels.com,北京市海淀区东北旺西路8号院4号楼1层101-6,"住宿;餐饮服务;销售食品;酒店管理;物业管理;会议服务;承办展览展示活动;出租商业用房;销售针纺织品、服装、日用品、电子产品。(企业依法自主选择经营项目,开展经营活动;餐饮服务、销售食品以及依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)",旅游饭店，物业管理,颐****（认缴额：100万元，实缴额：--，股东类型：企业法人）,"包****（监事）缪****（经理,执行董事）"
,魔方****技(北京)有限公司,,91110108593878****,11010201478****,张****,有限责任公司(自然人投资或控股),2012/3/31,358.2649(万元),1391001****,www.mofunsky.com,北京市昌平区回龙观镇龙域北街10号院1号楼5层523-1,技术开发、技术转让、技术咨询、技术推广、技术服务；销售自行开发后的产品；设计、制作、代理、发布广告；承办展览展示活动；会议服务；组织文化艺术交流活动（不含营业性演出）；电脑动画设计。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，其他文化艺术业,王****（持股比例：3.06%，认缴出资额：10.14万元，股东类型：自然人股东）戈****（持股比例：--，认缴出资额：0，股东类型：合伙企业）张****（持股比例：86.70%，认缴出资额：287.32万元，股东类型：自然人股东）,张****（执行董事）张****（经理）汤****（监事）
,北京****彬科技有限公司,,91110108MA01HD****,,王****,有限责任公司(自然人独资),2019/2/27,100万元,,,北京市海淀区东北旺西路8号院4号楼四层421-62,"技术开发、技术转让、技术咨询、技术服务;计算机系统服务;设计、制作、代理、发布广告;企业策划;会议服务;翻译服务;教育咨询(中介服务除外)。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)",社会经济咨询，其他专业咨询,王****（认缴额：100万元，实缴额：--，股东类型：自然人股东）,"吴****（监事）王****（经理,执行董事）"
,北京****元科技有限公司,,91110108MA018E****,11010802434****,张****,其他有限责任公司,2017/10/31,"1,000(万元)",010-6615****,,北京市海淀区东北旺西路8号院4号楼313-51,技术开发、技术咨询、技术服务、技术推广、技术转让；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；基础软件服务；应用软件服务；计算机系统服务；市场调查；企业管理咨询；软件咨询；软件开发；产品设计。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,软件开发，数据处理和存储服务,杨****（认缴额：250万元，实缴额：--，股东类型：自然人股东）北****（认缴额：750万元，实缴额：--，股东类型：企业法人）,张****（执行董事）张****（经理）赵****（监事）
,北京****科技有限公司,,91110108599688****,11010801504****,芦****,有限责任公司(自然人投资或控股),2012/6/29,"3,000(万元)",0108282****,,北京市海淀区东北旺西路8号5号楼158房间,技术开发、技术转让、技术咨询、技术推广、技术服务；计算机技术培训；基础软件服务、应用软件服务；计算机系统服务；数据处理；销售计算机、软件及辅助设备、电子产品、机械设备、通讯设备；市场调查；工程和技术研究与试验发展。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,软件开发，信息系统集成服务,邱****（认缴额：300万元，实缴额：150万元，股东类型：自然人股东）芦****（认缴额：700万元，实缴额：350万元，股东类型：自然人股东）,李****（监事）芦****（执行董事）芦****（经理）
,耕邦****技(北京)有限公司,,91110108MA00GL****,11010802384****,唐****,有限责任公司(法人独资),2017/7/28,"1,000(万元)",1561153****,,北京市海淀区东北旺西路8号院4号楼四层422-24,技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发的产品；计算机系统服务；基础软件服务；应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；教育咨询（中介服务除外）；经济贸易咨询；文化咨询；体育咨询；公共关系服务；会议服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；企业管理咨询；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；影视策划；翻译服务；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；接受金融机构委托从事金融信息技术外包服务；接受金融机构委托从事金融业务流程外包服务；接受金融机构委托从事金融知识流程外包服务；餐饮管理；酒店管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,"山****（认缴额：1,000万元，实缴额：--，股东类型：企业法人）",鲁****（监事）唐****（执行董事）唐****（经理）
,北京****力科技股份有限公司,北京明天动力科技有限公司； 北京铭天动力科技有限公司,91110108556857****,11010801292****,杨****,股份有限公司(非上市、自然人投资或控股),2010/6/7,960(万元),5940****,www.itppay.com,北京市海淀区东北旺西路8号院4号楼109号,技术开发、技术推广、技术转让、技术咨询、技术服务；计算机技术培训（不得面向全国招生）；计算机系统服务；设计、制作、代理、发布广告；从事互联网文化活动。（企业依法自主选择经营项目，开展经营活动；从事互联网文化活动以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,互联网信息服务，信息技术咨询服务,杨****（认缴额：504万元，实缴额：--，股东类型：自然人股东）万****（认缴额：144万元，实缴额：--，股东类型：自然人股东）北****（认缴额：312万元，实缴额：--，股东类型：企业法人）,"刘****（董事）万****（董事）徐****（监事）张****（监事会主席）耿****（监事）续****（董事）杨****（董事）杨****（董事长,经理）"
,北京****侠科技有限公司,,91110108MA018X****,11010802447****,张****,有限责任公司(自然人独资),2017/11/22,100(万元),1860121****,,北京市海淀区东北旺西路8号院4号楼四层422-42,技术开发、技术推广、技术转让、技术咨询、技术服务；销售自行开发的产品；计算机系统服务；基础软件服务、应用软件服务；软件开发；软件咨询；产品设计；模型设计；包装装潢设计；教育咨询（中介服务除外）；经济贸易咨询；文化咨询；体育咨询；公共关系服务；会议服务；工艺美术设计；电脑动画设计；企业策划、设计；设计、制作、代理、发布广告；市场调查；企业管理；企业管理咨询；健康管理、健康咨询（须经审批的诊疗活动除外）；组织文化艺术交流活动（不含营业性演出）；文艺创作；承办展览展示活动；影视策划；翻译服务；自然科学研究与试验发展；工程和技术研究与试验发展；农业科学研究与试验发展；医学研究与试验发展；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,专业化设计服务，社会经济咨询,张****（认缴额：100万元，实缴额：--，股东类型：自然人股东）,张****（监事）张****（执行董事）张****（经理）
,,,,,,,,,,,,,,,
北京市海淀区文化创意产业集聚区,,,,,,,,,,,,,,,
